questions,answers
query regarding diarrhoea,anti diarrhoeal anti biotic steroid &ors
asking about the control measure fungal wilt,application of captaf @ 2 gram per litre of water
asking about the control measure of downy mildew of pumpkin,suggested him to spray bavistin @1gm/lit of water
asking control measure of leaf curl in chilli,spray trifos 40 ec @ 1.5 ml per litre of water
querry regarding training of nursery raising,recommended to approach kvk located in pub dalgaon for further detail information
asking for fungal wilt problem,drench the soil with captan @ 2 gm per litre of water
agriculture related problem.,transfer to agriculture expert.
query regarding fungal infection in pea.,spray ridomil gold fungicide @ 2 ml/liter 3 times at 5 days interval in absence of rain.
asking about the soil type for pudina cultivation,advised him to select sandy to sandy loam soil for pudina cultivation.
vet query,transfer to vet expert
query regarding tea management,expalined details
asking about the cultivation practice of tomato,described about production technology of tomato
asked about carp culture,explain
asking about the control measure for fruit scaring beetle in banana,recommended to spray malathion 50 ec @ 2 ml/lit water.
asking about pm kisan installment ,2nd installment payment stoped by state on request of districts
asking about pop of okra,"variety: pusa sawani, arka anamika, parbhani kranti, red wonder ,panchasira .
sowing time: mid january – july 
spacing: (row to row x plant to plant) 30 cm x 15 cm (spring/summer crop) 
seed treatment and method of sowing: pre sowing soaking of seeds in water for 24 hrs, enhance germination. seeds should be directly sown in the pit and to be covered with sand and/or fym.
manure and fertilizer: fym @ 50-60 kg, urea 14 kg, ssp 40 kg and mop 11 kg/bigha, half of urea and full doses of fym, ssp and mop should be applied as basal and the remaining half of urea to be top dressed at 35-40 days after sowing.
"
asking about the control of leaf curl disease in chillies,suggested him to spray malathion 50 ec @ 2ml/liter of water
fertiliser management in coconut.,"i suggest him to apply 50 kg fym,560 g urea,320 g ssp, 1200 g mop and 300 g borax at the bse of the tree."
agriculture related problem.,transfer to agriculture expert.
query regarding animal husbandry,trnasfered to an expert
asking about the medicine for cow,advice-vimeral-50ml+ ostovet-50 ml once daily x30 days
"asking about control of fruit dropping in ber.
",apply planofix @ 1 ml per 5 liters of water.
asking about water management in potato,advice him pour water
asking about cultivation practices,explaiin details
telling taht he wants to cultivate improved variety of sali rice and for the same asking its source of procurement.,suggested to coordinate with the oficials of regional agricultural rice research station located at shillongani of his district.
asking about low production of milk.,suggested to administer mineral mix and calcium syrup daily  for a month.
query regarding micro-nutrient management in coconut.,advise to spray multiplex (coconut special) by ring method.
incomplete call," polish  meaning is smooth & shiny surface of athing [ like wood, shoe, rice , grain ] --that means to make a thing smooth & shiny  in appearance which is faded or rough in surface "
asking for the fertilizers dose to be applied in the 11th year stage of coconut trees.,"1.5 kilograms of urea, 2.5 kilo grams of  ssp and 1.75 kilo grams of mop has been advised along with 25 grams of borax and 200 grams of coconut special powder. suggested dose of urea,ssp and mop to be applied in two equal split doses. once in april and then in october to a trench of 30 cm width and 10 cm depth and at a radius of 1 to 1.75 metre away from the trunk depending upon the age of the plant. also advised that after application, it should be covered by green leaves and then by soil."
fertilizer dose of coconut,given in details
asking about the recommended fertilizer dose for mustard.,given in details as per the recommended dose.
asking for dose of dap as basal dose in sali rice,recommended him to apply 12 kg dap per bigha
want to know control of immature fruit drop in guava,"adviced to apply urea 80 gm, 250 gm ssp, 50 gm mop, 25 gm borax and 7 kg dried cowdung"
query regarding management of leaf curl disease and wilt of tomato.,"for management of leaf curl spray neem oil 5ml/liter of water once in aweek continously in the evening time on a sunny day.  for management of wilt spray blitox-50,  50 gram in 16 liters of water, 3 times at 5 days interval in the evening time in the absence of rain."
query regarding ridge gourd,forwarded to the expert
asking about cultural practices of chilli,recommenced to plant the seedlings at spacing of 60 x 45 cm and apply cow dung at the time of planting the seedlings
asking about fruit dropping in coconut plants. ,"--treatment: apply fertilizer viz., ssp 1kg, mop 1kg and borax 50 gram in each plant, 2 meter away from the plant in ring method as soon as possible and again apply urea 600 gm, ssp 1 kg, mop 1kg during the month of december or january."
asking about aphid & anthracnose problem in chilli,suggested to spray rogor @ 2ml/litre of water.after 3 days spray captaf @ 2gm/litre of water
problem of leaf curl in chilli.,advised him to apply rogor 35 ec @ 2 ml / liter of water.
asking top dressing in sali rice,suggested him to top dress with urea @ 3kg and mop @ 3kg/bigha mixing with moist soil
asking about treatment of f.m.d.,suggested to clean the affected area potash water and then spray scavon spray over affected area twice daily.
query regarding tea culture practices.,visit the district tea board.
asking about control of gall midge in paddy,"suggested to spray tricel @ 2ml/litre water ,3 sprays at an interval of 5 days"
asking about treatment of retaintion of placenta in case of cow.,suggested to administer exaper liq. @ 100 ml twice on the first day and repeat the same dose once daily for next three consecutive days.
asking about the how to control weed,application of 2 4 d @ 3 kg per bigha of land
query regarding control measures of leaf curling in chilli,recommended to spray rogor @ 2ml per litr of water
horticulture related problem.,transfer to horticulture expert.
asking about the wilting in chillis,suggested him to spray agrimycin @ 1gm /10 l of water
asking about the control measure to control root rot disease in okra.,suggested to spray captan@2gram/litre of water near the root portion.
asking about the fertilizer dose of boro paddy.,"advised him to apply urea 4 kg, ssp 18 kg, mop 2 kg per bigha at the time of last land preparation. after 30 days top dress urea @ 4 kg per bigha. at the time of panicle initiation stage top dress urea 4 kg, mop 2 kg per bigha."
query regarding cucumber variety and fertilizer dose,"advised to grow mahyco sylvia and sedona hybrids . apply urea 10kg, dap @ 13kg and mop@ 18kg/bigha"
asking about mite infestation on sugarecane,advice to apply clasic 20 @ 2ml / litre
query regarding stem borer,advised to apply tricel-20 @ 2ml/lit
control of fungal wilt in tomato,recommended him to spray saaf @ 2 gm/lit of water
asking about bacterial wilt of brinjal,advice to apply plantomycine @ 1 gm / 10 litre
asking where to purchase green house materials,advised to contact with mrs ruli bhuyan enterprise(contact number-9435140115)
asking about the control measure against fruit fly attack in pumpkin,advised him to spray malathion 50 ec @ 2 ml./litre of water and dissolve 1 gm gur to this solution.
